Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-1060673,91;1601754,07;1699012,38;-1157932,22;,00;-63866,35;,00;-117954,12;,00;-187681,66;,00;-202424,44;,00;-175092,76;,00;-107042,75;,00;5146,15;,00;-9651,59;,00;-202346,22;,00;-113156,89;,00;113396,72;,00;-97258,31;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-2825234,46;1015342,29;1105969,77;-2915861,94;,00;-167764,41;,00;-220426,77;,00;-345596,13;,00;-362336,99;,00;-301843,09;,00;-183391,35;,00;-353953,80;,00;-261280,13;,00;-229097,60;,00;-218188,07;,00;-181356,12;,00;-90627,48;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-23051525,67;225779,43;951070,53;-23776816,77;,00;-988871,74;,00;-3211230,42;,00;-3105995,20;,00;-2111024,15;,00;-2307891,19;,00;-1569817,38;,00;-1808765,55;,00;-2140091,65;,00;-1979911,04;,00;-1838566,16;,00;-1989361,19;,00;-725291,10;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-25164669,60;476,12;949296,75;-26113490,23;,00;-1072122,35;,00;-3442123,74;,00;-3289008,48;,00;-2278617,62;,00;-2460680,70;,00;-1677204,64;,00;-1932068,75;,00;-2291211,32;,00;-2114454,86;,00;-1991062,34;,00;-2616114,80;,00;-948820,63;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-24870176,33;,00;905742,94;-25775919,27;,00;-1039706,89;,00;-3424346,96;,00;-3249513,66;,00;-2240584,98;,00;-2453426,55;,00;-1649589,63;,00;-1913789,70;,00;-2262463,27;,00;-2094312,82;,00;-1949922,12;,00;-2592519,75;,00;-905742,94;,00
20;A;3111011;VENDA MAQUINAS AGCO NOVOS;-15718925,82;,00;340000,00;-16058925,82;,00;-797761,70;,00;-2600082,76;,00;-1400350,02;,00;-1239499,55;,00;-2093134,53;,00;-1135438,66;,00;-1577556,97;,00;-1530347,04;,00;-925991,58;,00;-802165,67;,00;-1616597,34;,00;-340000,00;,00
20;A;3111021;VENDA IMPLEMENTOS AGCO NOVOS;-762769,51;,00;,00;-762769,51;,00;,00;,00;-345076,41;,00;,00;,00;-148693,10;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;-269000,00;,00;,00;,00;,00;,00
20;A;3111031;VENDA MAQ.IMPL OUTRAS MARCAS NOVOS;-2415601,88;,00;74000,00;-2489601,88;,00;-114050,00;,00;-260500,00;,00;-195600,00;,00;-78300,00;,00;-125852,00;,00;-172000,00;,00;-215400,50;,00;-296390,00;,00;-389780,00;,00;-435640,00;,00;-132089,38;,00;-74000,00;,00
20;A;3111041;VENDA MAQS E IMPLEM.AGCO USADOS;-3151324,00;,00;330000,00;-3481324,00;,00;,00;,00;,00;,00;-1165000,00;,00;-500000,00;,00;,00;,00;,00;,00;,00;,00;-160000,00;,00;-469900,00;,00;-140000,00;,00;-716424,00;,00;-330000,00;,00
20;A;3111051;VENDA MAQ.IMPL.OUTRAS MARCAS USADOS;-794000,00;,00;,00;-794000,00;,00;-15000,00;,00;,00;,00;-219000,00;,00;,00;,00;-135000,00;,00;-155000,00;,00;,00;,00;-63000,00;,00;-98000,00;,00;-109000,00;,00;,00;,00;,00;,00
20;A;3111061;VENDA OUTROS NEGOCIOS AGCO;-234961,25;,00;15102,02;-250063,27;,00;-6689,00;,00;-4675,13;,00;-3761,14;,00;-16073,00;,00;-3690,76;,00;-33174,01;,00;-29032,75;,00;-13952,70;,00;-59879,21;,00;-42540,25;,00;-21493,30;,00;-15102,02;,00
20;A;3111062;VENDA OUTROS NEGOCIOS AGCO OFICINA;-18800,49;,00;442,00;-19242,49;,00;-1511,69;,00;-4794,39;,00;-3554,32;,00;-409,48;,00;-494,00;,00;-298,00;,00;-2855,00;,00;-1980,30;,00;-400,76;,00;-1207,57;,00;-1294,98;,00;-442,00;,00
20;A;3111063;VENDA OUTROS NEGOCIOS AGCO GARANTIA;-3416,87;,00;3656,36;-7073,23;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;-3328,95;,00;,00;,00;,00;,00;,00;,00;-87,92;,00;,00;,00;-3656,36;,00
20;A;3111101;VENDA DE PECAS AGCO;-605312,12;,00;29439,40;-634751,52;,00;-24980,87;,00;-82566,74;,00;-95549,37;,00;-101213,30;,00;-44587,74;,00;-21773,80;,00;-41656,47;,00;-67660,22;,00;-49261,16;,00;-52148,87;,00;-23913,58;,00;-29439,40;,00
20;A;3111102;VENDA DE PECAS OFICINA AGCO;-313880,56;,00;15633,32;-329513,88;,00;-27417,23;,00;-47891,65;,00;-48117,26;,00;-62138,97;,00;-12422,57;,00;-18360,35;,00;-8320,41;,00;-21490,69;,00;-15651,79;,00;-13507,02;,00;-38562,62;,00;-15633,32;,00
20;A;3111103;VENDA DE PECAS GARANTIA AGCO;-80889,74;,00;54353,41;-135243,15;,00;-3929,32;,00;,00;,00;-9740,27;,00;,00;,00;,00;,00;-42267,54;,00;,00;,00;,00;,00;-317,22;,00;-24635,39;,00;,00;,00;-54353,41;,00
20;A;3111131;VENDAS DE PECAS OUTRAS MARCAS;-321386,99;,00;7811,21;-329198,20;,00;-17596,76;,00;-34692,69;,00;-52761,44;,00;-48491,23;,00;-19488,97;,00;-27086,39;,00;-13018,42;,00;-46997,88;,00;-31841,17;,00;-18111,14;,00;-11300,90;,00;-7811,21;,00
20;A;3111132;VENDA DE PECAS OFICINA OUTRAS MARCAS;-111220,63;,00;10004,12;-121224,75;,00;-8455,64;,00;-11589,91;,00;-24517,13;,00;-12355,64;,00;-1651,86;,00;-3811,18;,00;-4100,00;,00;-6042,00;,00;-2852,00;,00;-16429,24;,00;-19416,03;,00;-10004,12;,00
20;A;3111133;VENDA DE PECAS OUTRAS MARCAS GARANTIA;-39981,32;,00;13704,90;-53686,22;,00;,00;,00;,00;,00;-3458,58;,00;,00;,00;,00;,00;-5494,96;,00;,00;,00;,00;,00;-30941,00;,00;-86,78;,00;,00;,00;-13704,90;,00
20;A;3111151;VENDA DE LUBRIFICANTES;-194556,31;,00;4144,82;-198701,13;,00;-10399,66;,00;-14534,19;,00;-20891,44;,00;-25634,34;,00;-15836,12;,00;-19551,15;,00;-13379,52;,00;-37326,51;,00;-16762,68;,00;-15078,70;,00;-5162,00;,00;-4144,82;,00
20;A;3111152;VENDA DE LUBRIFICANTES OFICINA;-100131,57;,00;3177,83;-103309,40;,00;-11789,89;,00;-17943,09;,00;-7212,69;,00;-7776,37;,00;-1268,00;,00;-10277,50;,00;-8469,66;,00;-17275,93;,00;-2474,75;,00;-9378,07;,00;-6265,62;,00;-3177,83;,00
20;A;3111153;VENDA DE LUBRIFICANTES GARANTIA;-3017,27;,00;4273,55;-7290,82;,00;-125,13;,00;,00;,00;,00;,00;,00;,00;,00;,00;-1727,14;,00;,00;,00;,00;,00;-259,50;,00;-905,50;,00;,00;,00;-4273,55;,00
20;A;3114000;RECEITA BRUTA DE SERVICOS;-294493,27;476,12;43553,81;-337570,96;,00;-32415,46;,00;-17776,78;,00;-39494,82;,00;-38032,64;,00;-7254,15;,00;-27615,01;,00;-18279,05;,00;-28748,05;,00;-20142,04;,00;-41140,22;,00;-23595,05;,00;-43077,69;,00
20;A;3114010;TRANSFERENCIA DE SERVICOS ENTRE FILIAIS;1164,00;476,12;,00;1640,12;,00;,00;,00;341,31;,00;227,54;,00;,00;,00;238,06;,00;119,03;,00;,00;,00;,00;,00;,00;,00;238,06;,00;,00;,00;476,12;,00
20;A;3114211;RECEITA COM SERVICOS PRESTADOS A CLIENTES;-211540,01;,00;7380,75;-218920,76;,00;-15513,50;,00;-16242,26;,00;-28464,10;,00;-26130,56;,00;-7254,15;,00;-19394,65;,00;-18279,05;,00;-21028,09;,00;-16240,05;,00;-23381,75;,00;-19611,85;,00;-7380,75;,00
20;A;3114271;SERVICOS REALIZADOS POR TERCEIROS;-8805,85;,00;180,00;-8985,85;,00;-4387,00;,00;-1070,00;,00;-1836,85;,00;-530,00;,00;,00;,00;-390,00;,00;,00;,00;,00;,00;-592,00;,00;,00;,00;,00;,00;-180,00;,00
20;A;3114291;COMISSOES SOBRE VENDAS DE MAQUINAS;-75311,41;,00;35993,06;-111304,47;,00;-12514,96;,00;-805,83;,00;-9421,41;,00;-11372,08;,00;-238,06;,00;-7949,39;,00;,00;,00;-7719,96;,00;-3309,99;,00;-17996,53;,00;-3983,20;,00;-35993,06;,00
20;A;3120000;MERCADORIAS DEVOLVIDAS;678537,41;166382,00;,00;844919,41;,00;9928,62;,00;13013,12;,00;29114,65;,00;34708,08;,00;12368,38;,00;2923,80;,00;6021,50;,00;11707,76;,00;31956,56;,00;24412,00;,00;502382,94;,00;166382,00;,00
20;A;3120031;DEVOLUCAO MAQS E IMPLEM OUTRAS MARCAS NOVOS;17300,00;,00;,00;17300,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;17300,00;,00;,00;,00;,00;,00;,00;,00
